4 xoz 13134637538 713463
49 xaS 13293630064 729363
1 wR5 13367535629 736753
0 wR5 13367535629 736753
30 v1c 13310124422 731012
14 uQy 13321238709 732123
76 uK9 13321819742 732181
84 uCz 13729015455 772901
94 u90 13785940278 778594
61 u5X 13686551818 768655
26 u1R 13702133293 770213
74 tXl 13478175000 747817
39 shk 13607990199 760799
18 qdk 13805768722 780576
53 qD9 13866129997 786612
88 pes 13753232591 775323
75 pXG 13712966854 771296
83 pQo 13712236045 771223
45 p5X 13051551158 705155
50 oJ3 13208533139 720853
29 nHn 13574597529 757459
5 lQ2 13550262093 755026
20 k91 13187961210 718796
57 j88 13810858227 781085
9 ih3 13545703082 754570
33 hPi 13358790134 735879
36 gUD 13607813905 760781
10 g5P 13588587517 758858
98 fRg 13175376167 717537
37 dDv 13955129354 795512
8 cTN 13642913217 764291
17 b7j 13579799513 757979
91 b52 13537542000 753754
64 asU 13669850665 766985
82 aRZ 13524361873 752436
96 aRO 13181358870 718135
79 aQ3 13942463142 794246
60 aBF 13501587025 750158
47 Z34 13013324265 701332
7 Z13 13799153670 779915
42 Y1s 13601128105 760112
22 W1L 13086181327 708618
86 Vid 13210889218 721088
3 VQY 13658050261 765805
87 SxW 13942766853 794276
81 StX 13409175276 740917
52 RYp 13850493974 785049
80 RE6 13578046068 757804
95 RDQ 13037574939 703757
56 Ql8 13903768232 790376
99 QbK 13249390374 724939
27 Q2l 13702245382 770224
63 O17 13586137608 758613
58 Nru 13753172729 775317
89 M3W 13926342890 792634
46 LP6 13938946696 793894
78 Kti 13407156030 740715
68 K2Y 13808232625 780823
6 Jj5 13152585632 715258
24 J9f 13396931233 739693
90 I0m 13168050321 716805
13 HXe 13019144259 701914
16 FWN 13437293733 743729
41 CNd 13566741588 756674
48 Bm4 13794204698 779420
2 B5A 13098518475 709851
71 A10 13865160120 786516
28 9qN 13192847057 719284
69 9e4 13994044623 799404
66 9EV 13598231029 759823
40 94I 13697456118 769745
65 941 13398401185 739840
21 92J 13690201361 769020
62 8ub 13482473741 748247
25 8u3 13180803526 718080
44 8qF 13987875459 798787
97 8Qw 13482852209 748285
54 8Jq 13088750069 708875
34 869 13884689607 788468
70 844 13283414765 728341
31 80G 13685014289 768501
72 7Jh 13677743927 767774
19 6oh 13968275152 796827
73 6X5 13261965344 726196
67 5DC 13957992709 795799
55 51i 13850124003 785012
32 4RZ 13842371233 784237
11 4FH 13347535119 734753
12 48r 13044835937 704483
23 442 13244442495 724444
77 42k 13049230809 704923
85 3zz 13131351661 713135
59 3g3 13534643286 753464
35 38f 13437879615 743787
51 2P4 13327384326 732738
92 2F3 13328173661 732817
38 28B 13024881644 702488
43 1E3 13215403976 721540
99 0mb 13302569999 782355
15 0N5 13307565423 730756
93 0MB 13801843394 780184
